,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
9632,5720.0,280.0,0.0,0.0,6680.0,7020.0,0.0,1160.0,684.0,0.0,8750.0,8870.0,439.0,9800.0
9633,7430.0,421.0,0.0,0.0,9510.0,8760.0,0.0,1910.0,758.0,0.0,11500.0,11400.0,1040.0,13300.0
9634,12900.0,1420.0,0.0,0.0,14900.0,16200.0,0.0,20000.0,1250.0,0.0,38100.0,39400.0,9260.0,49900.0
9635,6090.0,225.0,0.0,0.0,7040.0,7300.0,0.0,1250.0,625.0,0.0,8630.0,8720.0,533.0,9360.0
9636,5860.0,1710.0,0.0,0.0,8540.0,8840.0,0.0,9370.0,1700.0,0.0,19800.0,21400.0,9850.0,30300.0
9637,3690.0,197.0,0.0,0.0,7060.0,6890.0,0.0,1270.0,685.0,0.0,8560.0,8840.0,1410.0,10700.0
9638,6990.0,267.0,0.0,0.0,7910.0,6850.0,0.0,1170.0,219.0,0.0,8530.0,8620.0,312.0,9900.0
9639,6120.0,454.0,0.0,0.0,6580.0,6830.0,0.0,3460.0,329.0,0.0,11700.0,12000.0,1150.0,12900.0
9640,7090.0,364.0,0.0,0.0,8370.0,8370.0,0.0,1930.0,505.0,0.0,11500.0,11100.0,1010.0,13100.0
9641,8690.0,813.0,0.0,0.0,9230.0,9190.0,0.0,3870.0,424.0,0.0,15000.0,15700.0,1030.0,17200.0
9642,5620.0,687.0,0.0,0.0,6940.0,6890.0,0.0,8340.0,0.0,0.0,15200.0,15800.0,7570.0,23400.0
9643,0.0,191.0,0.0,4700.0,6750.0,6840.0,0.0,1310.0,244.0,0.0,8550.0,8750.0,1400.0,10400.0
9644,6360.0,263.0,0.0,0.0,6700.0,6790.0,0.0,1350.0,454.0,0.0,9180.0,9320.0,1720.0,10900.0
9645,9920.0,2720.0,0.0,0.0,13700.0,13000.0,0.0,10400.0,1620.0,0.0,25000.0,24300.0,4470.0,27500.0
9646,11700.0,2760.0,0.0,0.0,22000.0,20900.0,0.0,15400.0,738.0,0.0,36500.0,36600.0,5720.0,41200.0
9647,6690.0,297.0,0.0,0.0,6940.0,7080.0,0.0,1270.0,788.0,0.0,8820.0,8990.0,355.0,9310.0
